37,217,-125,27
30,65,-126,25
31,71,-121,27
32,77,-119,32
33,83,-112,45
33,89,-112,37
33,94,-113,36
33,100,-117,67
34,106,-114,81
35,112,-109,94
35,117,-105,74
35,123,-109,107
35,129,-111,95
35,135,-114,89
35,141,-116,91
36,146,-114,95
37,152,-110,96
37,158,-109,106
37,164,-110,105
37,170,-113,95
37,176,-117,78
37,182,-123,58
37,188,-126,58
40,192,-101,112
40,198,-99,92
38,205,-123,24
39,211,-123,24
39,217,-125,25
32,65,-121,21
33,71,-119,27
33,77,-116,44
34,83,-110,42
34,89,-111,51
35,94,-114,40
35,100,-116,76
35,106,-111,85
36,112,-106,88
37,117,-104,90
37,123,-107,118
37,129,-108,94
37,135,-111,85
37,141,-112,86
38,146,-111,94
38,152,-107,104
39,158,-106,109
39,163,-107,112
39,169,-110,108
39,175,-113,89
39,181,-117,63
39,187,-122,45
40,192,-109,64
42,197,-97,94
40,205,-122,23
40,211,-123,28
40,217,-125,24
33,59,-129,26
34,65,-119,29
34,71,-117,27
35,77,-111,43
36,83,-109,52
36,88,-111,40
36,94,-115,67
36,100,-114,87
37,106,-108,95
38,112,-103,91
38,117,-103,108
38,123,-105,110
39,129,-105,81
39,135,-107,72
39,140,-108,94
39,146,-108,96
40,152,-105,103
40,157,-104,114
41,163,-105,116
41,169,-107,109
41,175,-110,99
41,181,-113,77
41,187,-116,53
41,193,-119,43
43,197,-100,74
41,205,-124,22
41,211,-124,24
42,217,-123,23
34,57,-127,23
35,63,-117,28
36,69,-115,28
37,75,-109,38
37,81,-108,48
37,87,-110,52
37,93,-115,79
38,98,-113,94
39,104,-107,92
39,110,-102,88
40,116,-102,108
40,122,-104,117
40,127,-102,91
41,133,-103,81
41,139,-106,89
41,144,-105,108
41,150,-103,101
42,156,-102,118
42,162,-102,117
42,167,-104,109
42,173,-107,107
43,179,-109,98
43,185,-111,70
43,191,-116,47
43,197,-116,45
43,204,-124,47
43,210,-125,24
43,215,-125,20
36,56,-125,23
37,62,-117,22
38,68,-112,29
38,74,-107,34
39,80,-106,51
39,85,-108,45
39,91,-115,81
39,97,-112,94
40,103,-106,91
41,109,-102,96
41,114,-100,94
41,120,-102,125
42,126,-100,100
42,131,-100,75
42,137,-103,84
43,143,-103,114
43,149,-102,111
43,154,-100,114
44,160,-99,114
44,166,-101,108
44,172,-104,110
44,178,-106,113
44,183,-108,85
44,189,-111,68
45,195,-113,52
44,202,-119,56
44,208,-124,29
45,214,-123,21
45,220,-123,21
37,54,-124,21
38,61,-116,20
39,67,-110,27
40,73,-106,35
40,78,-104,54
40,84,-108,40
40,90,-115,83
41,95,-111,92
41,101,-105,95
42,107,-101,113
43,113,-98,84
43,118,-101,137
43,124,-98,106
44,130,-98,61
44,136,-100,101
44,141,-101,119
44,147,-101,113
45,153,-98,114
45,158,-97,114
46,164,-98,117
46,170,-101,102
46,176,-103,108
46,182,-105,109
46,188,-107,77
46,194,-110,78
46,200,-113,54
46,206,-120,56
46,212,-122,24
47,218,-120,24
38,51,-127,18
40,58,-113,23
40,64,-109,24
41,70,-105,31
42,75,-103,44
42,81,-105,38
41,87,-113,62
42,92,-112,103
43,98,-106,98
43,104,-101,112
44,110,-98,85
44,116,-100,154
45,121,-98,107
45,127,-98,84
45,133,-100,100
46,138,-99,111
46,144,-99,126
46,150,-97,104
47,155,-96,113
47,161,-95,116
47,167,-97,118
47,173,-100,114
47,179,-102,109
48,184,-104,97
48,190,-105,61
48,196,-108,74
48,202,-112,59
48,209,-119,57
48,215,-120,25
40,53,-121,19
42,59,-108,21
42,65,-105,25
43,71,-102,33
43,77,-103,44
43,82,-108,45
43,88,-113,96
44,94,-108,98
44,100,-103,100
45,105,-99,126
46,111,-96,82
46,117,-99,132
46,123,-96,126
46,128,-99,65
47,134,-97,105
47,140,-98,128
47,145,-97,114
48,151,-95,112
48,157,-93,120
49,162,-93,122
49,168,-95,115
49,174,-99,117
49,180,-100,116
49,186,-101,89
50,191,-103,74
50,197,-105,65
50,203,-108,61
50,210,-114,60
49,216,-120,32
41,50,-123,17
43,56,-109,25
44,62,-104,24
44,68,-102,26
45,74,-102,46
45,80,-105,52
44,85,-112,90
45,91,-109,113
46,97,-104,102
46,103,-99,122
47,108,-96,102
47,114,-98,150
48,120,-96,112
48,125,-96,79
48,131,-99,174
49,137,-96,118
49,142,-96,109
49,148,-94,110
50,154,-92,110
50,159,-91,127
50,165,-92,124
50,171,-95,113
51,177,-98,109
51,182,-98,101
51,188,-99,81
51,194,-101,79
51,200,-102,60
51,206,-106,54
51,212,-113,55
51,219,-121,23
43,48,-126,17
44,55,-108,21
45,61,-103,22
46,67,-102,27
46,72,-102,50
46,78,-105,58
46,84,-112,110
46,89,-108,112
47,95,-103,99
48,101,-98,117
48,107,-95,109
49,112,-96,92
49,118,-96,132
49,124,-95,117
49,130,-97,48
50,135,-95,124
50,141,-95,128
51,147,-93,110
51,152,-90,114
52,158,-89,126
52,163,-90,131
52,169,-92,110
52,175,-95,115
52,181,-96,116
53,187,-97,104
53,192,-98,73
53,198,-99,70
53,204,-100,56
53,210,-106,63
53,217,-114,52
44,43,-128,19
45,52,-112,20
46,58,-104,19
47,64,-102,22
47,69,-102,36
47,75,-102,59
47,81,-112,88
48,86,-109,101
48,92,-104,102
49,98,-99,110
50,104,-95,132
50,110,-94,105
50,115,-97,152
51,121,-94,144
51,127,-94,76
51,132,-94,116
52,138,-95,142
52,144,-93,118
53,149,-90,110
53,155,-88,122
53,160,-88,121
54,166,-89,116
54,172,-91,119
54,178,-93,118
54,183,-94,113
54,189,-94,84
55,195,-95,77
55,201,-96,67
55,207,-99,54
55,213,-104,49
54,220,-115,37
45,43,-126,18
47,50,-109,18
48,56,-103,20
48,62,-103,21
49,68,-102,34
49,74,-102,62
48,79,-111,93
49,85,-109,105
50,91,-104,95
50,97,-99,108
51,102,-95,139
51,108,-93,95
52,114,-96,147
52,119,-94,117
52,125,-95,34
53,131,-94,93
53,136,-94,147
53,142,-92,141
54,148,-89,116
54,153,-87,125
55,159,-86,125
55,165,-87,124
55,170,-89,129
55,176,-91,121
56,182,-91,117
56,187,-91,94
56,193,-91,74
56,199,-93,56
57,205,-95,49
57,211,-98,53
56,217,-107,44
47,43,-124,18
49,50,-105,22
49,56,-103,20
50,62,-103,22
50,68,-101,35
50,73,-105,67
50,79,-111,107
51,85,-107,111
51,91,-103,95
52,97,-97,109
52,102,-94,137
53,108,-92,92
53,114,-96,140
53,119,-93,119
54,125,-94,42
54,131,-93,111
54,136,-93,151
55,142,-91,148
55,148,-88,120
56,153,-86,129
56,159,-85,128
57,164,-86,131
57,170,-87,136
57,176,-89,129
57,182,-89,124
58,187,-88,102
58,193,-88,76
58,199,-89,60
58,204,-91,58
58,211,-95,56
58,217,-103,46
49,46,-112,17
50,52,-105,19
51,58,-103,19
51,63,-102,27
52,69,-100,44
51,75,-110,64
52,80,-110,112
52,86,-105,103
53,92,-100,98
54,98,-95,127
54,104,-93,138
54,109,-92,83
55,115,-95,154
55,121,-93,129
55,126,-94,56
56,132,-92,138
56,138,-91,131
57,143,-89,110
57,149,-86,123
58,154,-84,130
58,160,-84,134
58,166,-85,132
58,171,-86,131
59,177,-87,120
59,183,-87,119
59,188,-86,105
60,194,-85,79
60,200,-86,49
60,206,-89,54
60,212,-93,51
60,218,-101,51
50,42,-122,18
52,50,-103,25
52,56,-103,19
53,62,-101,27
53,68,-99,40
53,73,-109,71
53,79,-110,114
54,85,-105,104
54,91,-100,99
55,96,-95,121
55,102,-92,142
56,108,-91,85
56,114,-95,146
56,119,-93,123
57,125,-93,73
57,131,-92,112
57,136,-91,124
58,142,-89,125
58,147,-85,125
59,153,-83,139
59,159,-83,136
59,164,-84,130
60,170,-84,129
60,176,-85,110
60,181,-85,106
61,187,-84,112
61,192,-83,102
61,198,-84,60
61,204,-86,55
62,210,-89,53
61,216,-95,50
51,40,-126,19
53,49,-104,20
53,55,-105,22
54,60,-102,27
54,66,-99,48
54,72,-109,78
54,77,-110,117
55,83,-105,107
56,89,-100,104
56,95,-94,111
57,101,-92,148
57,106,-90,99
57,112,-93,112
